3P%
0.313,
0,
0,
0,
0.396,
0.375,
0.25,
0.22,
0,
0.341,
0.5,
0.489,
0,
0.167,
0.393,
0,
0.32,
0.373,
0.346,
0.5,
0,
0.375,
0.346,
0.333,
0,
0.431,
0.4,
0,
0.394,
0,
0.347,
0.429,
0.373,
0,
0.182,
0.347,
0.397,
0.4,
0,
0.338,
0,
0.5,
0,
0.429,
0.389,
0.5,
0,
0.375,
0,
0.364,
0.2,
0.391,
0.667,
0.3,
0.302,
0,
0.522,
0.397,
0.1,
0,
0,
0.417,
0.345,
0.231,
0.333,
0,
0.333,
0.404,
0,
0.212,
0.426,
1,
0,
0.364,
0.267,
0,
0.2,
0.357,
0.408,
0.205,
0.2,
0,
0.375,
0.227,
0.4,
0.368,
0.386,
0.333,
0,
0.333,
0,
0.229,
0.6
