708.0,"1,143"
888.7,"1,562"
689.3,"1,477"
619.9,"1,073"
670.3,"1,217"
715.8,"1,294"
896.5,"1,671"
"1,018.4","1,902"
864.7,"1,705"
671.4,"1,662"
575.4,"1,083"
624.2,"1,060"
846.2,"14,378"
945.6,"1,722"
700.9,"1,554"
677.4,"1,142"
696.4,"1,194"
745.5,"1,278"
829.1,"1,424"
"1,071.7","2,086"
"1,008.6","1,986"
901.3,"1,961"
649.9,"1,620"
612.0,"1,025"
711.1,"1,116"
"1,012.3","1,803"
772.7,"1,603"
977.2,"1,890"
"1,884.0","3,833"
"2,400.3","6,882"
"1,620.7","3,871"
"1,760.4","6,216"
"1,250.8","3,097"
936.0,"3,005"
586.5,"1,247"
548.1,"1,096"
611.2,"1,057"
999.5,"1,991"
674.3,"1,950"
501.4,969
509.3,"1,062"
603.0,"1,129"
723.4,"1,554"
847.2,"1,837"
834.6,"1,855"
631.4,"1,658"
549.6,"1,091"
554.9,"1,069"
652.4,"1,049"
994.6,"2,205"
813.8,"2,116"
594.4,"1,175"
639.0,"1,293"
813.5,"1,617"
985.7,"2,449"
"1,305.6","3,389"
"1,277.6","3,589"
807.6,"3,005"
615.4,"1,308"
757.5,"1,481"
777.8,"1,638"
"1,270.4","3,214"
953.9,"3,319"
527.2,"1,009"
572.0,"1,062"
616.2,"1,278"
703.3,"1,316"
947.6,"2,461"
849.4,"2,213"
651.9,"1,907"
545.7,"1,083"
555.7,"1,041"
647.4,"1,167"
891.5,"2,109"
772.4,"2,061"
583.3,"1,143"
593.6,"1,155"
703.0,"1,393"
895.4,"1,884"
"1,051.1","2,494"
"1,027.2","2,264"
860.0,"2,209"
571.7,"1,105"
554.6,"1,099"
659.7,"1,137"
761.9,"1,332"
"1,006.3","2,221"
654.1,"1,226"
711.2,"1,555"
801.7,"1,843"
816.0,"1,655"
"1,025.3","2,415"
991.5,"2,468"
756.4,"1,761"
883.2,"2,212"
820.5,"3,009"
792.3,"1,364"
845.9,"1,560"
960.1,"2,395"
687.0,"1,300"
696.6,"1,304"
703.8,"1,458"
804.3,"1,717"
"1,232.0","3,797"
987.4,"2,119"
