1.35,54876.98
1.28,51039.6
0.98,109428.33
1.12,84843.44
0.99,106803.39
1.11,99172.96
1.33,80043.78
1.11,106757.1
1.35,109252.12
1.32,89631.3
1.19,101470.91
1.2,59197.67
1.13,48364.29
1.12,46346.85
0.99,51253.97
0.99,55595.74
0.99,386100.49
1.07,357636.82
1.13,339860.68
1.09,358478.08
0.96,418682.26
1.07,417232.18
1.12,379054.29
1.15,405898.44
1.14,407204.88
0.99,554763.76
1.1,454702
1.1,480071.18
1.12,430966.34
1.11,365722.14
1.1,420826.32
1.06,427391.28
1.1,449332.85
1,435021.49
0.9,5040365.47
0.78,5775536.27
0.83,5755190.69
1.12,4592461.81
1.02,4943781.29
1.13,5106508.12
1.18,5193221
1.16,5428238.87
1.13,5451636.92
1.07,5952597.29
0.98,6236903.31
0.93,6650357.96
1.05,5871080.81
1.1,5341821.67
0.96,5990243.89
0.96,5699944.93
1.06,4929884.26
0.93,5777334.9
0.95,157146.19
1,133618.33
1.11,171793.87
1.14,167396.56
1.2,161443.98
1.2,179026.88
1.21,173059.32
1.19,187575.03
1.17,193654.01
1.15,199980.3
1.21,190799.99
1.2,182141.55
1.19,177919.28
1.19,183944.05
1.08,201741.43
0.98,254009.7
1.26,159942.68
0.91,690669.34
1.11,602481.22
1.01,711146.61
1.15,690302.58
1.15,720501.55
1.11,808677.78
1.16,817690.89
1.12,791332.34
1.24,937317.45
1.21,868197.41
1.23,887105.04
1.04,978376.13
1.24,710718.98
1.21,799946.53
1.09,863391.73
1.13,729325.61
1.14,797741.43
0.97,62909.69
0.71,95295.34
1.01,68648.22
1.11,59874.45
1.12,59496.33
1.08,64208.84
1.05,70773.76
1.07,67763.91
1.22,841324.90
